policy,task_id,replicate,run_id,recipe,task_class,status,success,verifier_pass,verifier_passes,verifier_total,verifier_reasons,reviewer_verdicts,reviewer_accept,task_cost_usd,llm_cost_usd,duration_s,llm_call_count,failed_llm_call_count,input_tokens,output_tokens,expensive_call_count,distinct_provider_count,providers,retry_event_count,plan_fallback,zero_stdout_artifact_count
frontier_only,obs-smoke-001,1,trace-budget-obs-smoke-20260610-24-frontier_only-obs-smoke-001-r1,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.493341,0.73243,93.0,4,0,18,3505,4,1,anthropic,0,1,0
cheap_only,obs-smoke-001,1,trace-budget-obs-smoke-20260610-24-cheap_only-obs-smoke-001-r1,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.258498,0.511957,124.0,3,0,20414,5247,1,2,"anthropic,gateway",0,1,0
static_hybrid,obs-smoke-001,1,trace-budget-obs-smoke-20260610-24-static_hybrid-obs-smoke-001-r1,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.35464,0.576455,88.0,3,0,8090,3386,2,2,"anthropic,gateway",0,1,0
trace_governed,obs-smoke-001,1,trace-budget-obs-smoke-20260610-24-trace_governed-obs-smoke-001-r1,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.388173,0.632126,102.0,3,0,9783,4315,2,2,"anthropic,gateway",0,0,0
frontier_only,obs-smoke-001,2,trace-budget-obs-smoke-20260610-24-frontier_only-obs-smoke-001-r2,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.492734,0.734587,89.0,4,0,18,3610,4,1,anthropic,0,1,0
cheap_only,obs-smoke-001,2,trace-budget-obs-smoke-20260610-24-cheap_only-obs-smoke-001-r2,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.23993,0.463889,96.0,3,0,18326,3614,1,2,"anthropic,gateway",0,0,0
static_hybrid,obs-smoke-001,2,trace-budget-obs-smoke-20260610-24-static_hybrid-obs-smoke-001-r2,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.378773,0.628756,99.0,3,0,9631,4426,2,2,"anthropic,gateway",0,0,0
trace_governed,obs-smoke-001,2,trace-budget-obs-smoke-20260610-24-trace_governed-obs-smoke-001-r2,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.374987,0.609577,97.0,3,0,9380,3866,2,2,"anthropic,gateway",0,0,0
frontier_only,obs-smoke-002,1,trace-budget-obs-smoke-20260610-24-frontier_only-obs-smoke-002-r1,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.528714,0.760723,88.0,4,0,18,3207,4,1,anthropic,0,0,0
cheap_only,obs-smoke-002,1,trace-budget-obs-smoke-20260610-24-cheap_only-obs-smoke-002-r1,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.435771,0.659755,153.0,3,0,18081,5625,1,2,"anthropic,gateway",0,1,0
static_hybrid,obs-smoke-002,1,trace-budget-obs-smoke-20260610-24-static_hybrid-obs-smoke-002-r1,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.357985,0.583594,93.0,3,0,8094,3522,2,2,"anthropic,gateway",0,1,0
trace_governed,obs-smoke-002,1,trace-budget-obs-smoke-20260610-24-trace_governed-obs-smoke-002-r1,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.35154,0.59663,98.0,3,0,8085,4190,2,2,"anthropic,gateway",0,1,0
frontier_only,obs-smoke-002,2,trace-budget-obs-smoke-20260610-24-frontier_only-obs-smoke-002-r2,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.491941,0.726274,86.0,4,0,18,3304,4,1,anthropic,0,1,0
cheap_only,obs-smoke-002,2,trace-budget-obs-smoke-20260610-24-cheap_only-obs-smoke-002-r2,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.574482,0.791716,199.0,3,0,25428,7811,1,2,"anthropic,gateway",0,0,0
static_hybrid,obs-smoke-002,2,trace-budget-obs-smoke-20260610-24-static_hybrid-obs-smoke-002-r2,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.379236,0.62092,98.0,3,0,9468,4245,2,2,"anthropic,gateway",0,0,0
trace_governed,obs-smoke-002,2,trace-budget-obs-smoke-20260610-24-trace_governed-obs-smoke-002-r2,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.35218,0.59602,98.0,3,0,8103,4162,2,2,"anthropic,gateway",0,1,0
frontier_only,obs-smoke-003,1,trace-budget-obs-smoke-20260610-24-frontier_only-obs-smoke-003-r1,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.492291,0.721949,83.0,4,0,18,3120,4,1,anthropic,0,1,0
cheap_only,obs-smoke-003,1,trace-budget-obs-smoke-20260610-24-cheap_only-obs-smoke-003-r1,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.250975,0.464959,108.0,3,0,15503,4247,1,2,"anthropic,gateway",0,1,0
static_hybrid,obs-smoke-003,1,trace-budget-obs-smoke-20260610-24-static_hybrid-obs-smoke-003-r1,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.380509,0.620618,93.0,3,0,9822,3756,2,2,"anthropic,gateway",0,0,0
trace_governed,obs-smoke-003,1,trace-budget-obs-smoke-20260610-24-trace_governed-obs-smoke-003-r1,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.412014,0.629754,111.0,3,0,10673,4440,2,2,"anthropic,gateway",0,0,0
frontier_only,obs-smoke-003,2,trace-budget-obs-smoke-20260610-24-frontier_only-obs-smoke-003-r2,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.52312,0.766104,86.0,4,0,18,3646,4,1,anthropic,0,0,0
cheap_only,obs-smoke-003,2,trace-budget-obs-smoke-20260610-24-cheap_only-obs-smoke-003-r2,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.286494,0.533903,140.0,3,0,18652,6334,1,2,"anthropic,gateway",0,0,0
static_hybrid,obs-smoke-003,2,trace-budget-obs-smoke-20260610-24-static_hybrid-obs-smoke-003-r2,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.34963,0.568089,81.0,3,0,7968,3072,2,2,"anthropic,gateway",0,1,0
trace_governed,obs-smoke-003,2,trace-budget-obs-smoke-20260610-24-trace_governed-obs-smoke-003-r2,obs-smoke,obs_smoke,published,1,1,1,1,,pass,1,0.378107,0.627347,100.0,3,0,9641,4386,2,2,"anthropic,gateway",0,0,0
